Time (UTC),Altitude,Wind Speed Avg (km/h),Wind Speed Min (km/h),Wind Speed Max (km/h),Wind Heading (degrees),Wind Ts,Score
2024-06-06 13:21:55,412,18.0,8.5,29.5,202.5,2024-06-06 13:21:56,36
2024-06-06 13:25:57,468,16.5,8.25,30.5,225.0,2024-06-06 13:26:56,20
2024-06-06 13:29:59,479,19.0,10.5,25.5,225.0,2024-06-06 13:31:58,40
2024-06-06 13:36:02,447,16.0,8.0,26.5,225.0,2024-06-06 13:36:58,0
2024-06-06 13:40:04,462,15.5,8.0,24.0,225.0,2024-06-06 13:42:02,37
2024-06-06 13:46:07,422,16.5,9.5,29.0,225.0,2024-06-06 13:47:02,18
2024-06-06 13:50:09,436,17.0,9.75,24.0,225.0,2024-06-06 13:52:05,16
2024-06-06 13:59:39,457,19.5,11.0,29.0,202.5,2024-06-06 14:02:08,44
2024-06-06 14:05:42,433,18.5,11.0,27.0,225.0,2024-06-06 14:07:08,16
2024-06-06 14:09:44,444,13.0,5.25,21.0,225.0,2024-06-06 14:12:11,0
2024-06-06 14:19:33,390,11.0,5.0,19.0,225.0,2024-06-06 14:17:11,0
2024-06-06 14:20:29,395,12.0,7.25,19.5,225.0,2024-06-06 14:22:14,4
2024-06-06 14:27:46,464,12.0,2.25,19.5,247.5,2024-06-06 14:27:14,50
2024-06-06 14:29:47,476,15.0,10.0,21.0,225.0,2024-06-06 14:32:16,13
2024-06-06 14:35:51,411,13.0,7.0,21.5,247.5,2024-06-06 14:37:16,24
2024-06-07 13:01:34,420,20.0,5.0,33.5,202.5,2024-06-07 12:59:04,0
2024-06-07 13:03:35,452,11.5,4.75,17.5,247.5,2024-06-07 13:04:04,32
2024-06-07 13:07:37,493,18.0,10.0,28.0,225.0,2024-06-07 13:09:06,20
2024-06-07 13:11:39,446,18.0,11.5,27.0,225.0,2024-06-07 13:14:06,9
2024-06-07 13:17:42,444,14.0,8.25,20.5,225.0,2024-06-07 13:19:09,25
2024-06-07 13:21:44,431,21.0,13.5,33.0,225.0,2024-06-07 13:24:09,9
2024-06-07 13:50:02,433,16.5,9.25,26.0,225.0,2024-06-07 13:49:19,21
2024-06-07 13:52:03,473,17.0,11.0,24.0,225.0,2024-06-07 13:54:19,48
2024-06-07 13:58:06,388,20.0,13.0,28.5,247.5,2024-06-07 13:59:22,31
2024-06-07 14:12:18,397,18.5,12.0,27.5,225.0,2024-06-07 14:14:25,18
2024-06-07 14:18:21,488,17.0,8.25,25.0,225.0,2024-06-07 14:19:28,65
2024-06-07 14:22:23,450,15.5,9.25,21.0,247.5,2024-06-07 14:24:28,53
2024-06-07 14:28:26,422,13.5,9.5,18.5,225.0,2024-06-07 14:29:31,1
2024-06-07 14:34:53,383,12.5,8.0,24.0,247.5,2024-06-07 14:34:31,9
2024-06-07 14:38:55,423,20.0,12.0,29.0,225.0,2024-06-07 14:39:34,33
2024-06-07 14:42:57,389,22.0,13.5,31.5,225.0,2024-06-07 14:44:34,0
2024-06-07 15:21:04,470,14.5,9.0,21.0,202.5,2024-06-07 15:19:46,45
2024-06-07 15:23:05,389,12.0,8.0,23.0,225.0,2024-06-07 15:24:46,27
2024-06-07 15:29:09,516,18.5,10.5,28.5,225.0,2024-06-07 15:30:37,86
2024-06-07 15:33:11,405,16.5,10.5,26.0,225.0,2024-06-07 15:35:37,28
2024-06-07 15:39:14,510,18.0,11.5,26.0,247.5,2024-06-07 15:40:40,59
2024-06-07 15:43:16,532,15.5,9.75,23.5,225.0,2024-06-07 15:45:40,0
2024-06-07 15:49:19,453,16.5,9.75,23.0,225.0,2024-06-07 15:50:43,7
2024-06-07 15:53:21,404,13.0,5.25,22.0,225.0,2024-06-07 15:55:43,9
2024-06-07 15:59:24,437,15.5,7.25,24.0,225.0,2024-06-07 16:00:47,20
